label,caption,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63
building,"museum floor plan",0.41,0.56,0.56,0.56,0.56,0.46,0.30,0.06,0.35,0.04,0.27,0.11,0.06,0.58,0.24,0.07,0.35,0.05,0.19,0.21,0.20,0.39,0.49,0.12,0.51,0.55,0.57,0.23,0.12,0.06,0.10,0.27,0.35,0.05,0.23,0.06,0.06,0.08,0.14,0.26,0.36,0.07,0.22,0.29,0.10,0.37,0.18,0.27,0.38,0.07,0.10,0.07,0.08,0.36,0.19,0.11,0.21,0.26,0.26,0.26,0.26,0.20,0.05,0.06
building,"abandoned inn room",0.16,0.05,0.19,0.21,0.26,0.26,0.21,0.23,0.22,0.14,0.12,0.22,0.24,0.21,0.22,0.21,0.23,0.10,0.15,0.21,0.17,0.23,0.23,0.09,0.19,0.17,0.22,0.22,0.14,0.19,0.22,0.17,0.18,0.16,0.21,0.23,0.23,0.21,0.45,0.13,0.09,0.33,0.43,0.22,0.17,0.15,0.18,0.10,0.09,0.38,0.35,0.48,0.29,0.21,0.12,0.09,0.09,0.10,0.11,0.11,0.12,0.09,0.06,0.09
building,"abandoned inn room",0.16,0.13,0.28,0.17,0.08,0.13,0.14,0.17,0.16,0.20,0.38,0.15,0.15,0.27,0.30,0.33,0.18,0.19,0.16,0.18,0.18,0.32,0.23,0.41,0.14,0.21,0.18,0.17,0.17,0.32,0.21,0.30,0.21,0.22,0.18,0.22,0.15,0.28,0.28,0.29,0.19,0.34,0.20,0.26,0.46,0.70,0.32,0.19,0.17,0.18,0.27,0.54,0.38,0.38,0.31,0.21,0.18,0.18,0.14,0.12,0.17,0.19,0.18,0.11
building,"abandoned inn room",0.17,0.12,0.12,0.22,0.27,0.27,0.27,0.27,0.20,0.14,0.12,0.21,0.28,0.13,0.19,0.22,0.19,0.10,0.14,0.23,0.27,0.21,0.08,0.19,0.24,0.21,0.22,0.41,0.63,0.32,0.03,0.20,0.14,0.17,0.10,0.26,0.24,0.14,0.02,0.20,0.16,0.21,0.18,0.13,0.70,0.94,0.41,0.17,0.07,0.16,0.09,0.06,0.10,0.10,0.09,0.08,0.16,0.13,0.19,0.21,0.21,0.22,0.22,0.18
building,"arcade machine room",0.12,0.13,0.14,0.12,0.12,0.20,0.19,0.14,0.10,0.78,0.80,0.29,0.09,0.24,0.26,0.26,0.11,0.36,0.41,0.29,0.08,0.22,0.17,0.26,0.08,0.33,0.39,0.49,0.09,0.21,0.15,0.23,0.08,0.33,0.41,0.54,0.09,0.19,0.17,0.21,0.06,0.39,0.01,0.36,0.29,0.35,0.15,0.21,0.14,0.17,0.09,0.20,0.15,0.17,0.17,0.15,0.19,0.15,0.17,0.15,0.20,0.15,0.16,0.16
building,"arcade machine room",0.07,0.07,0.11,0.13,0.13,0.11,0.08,0.07,0.21,0.11,0.19,0.26,0.26,0.19,0.13,0.21,0.18,0.44,0.10,0.22,0.31,0.10,0.53,0.22,0.18,0.41,0.14,0.20,0.23,0.13,0.40,0.20,0.23,0.22,0.19,0.27,0.27,0.22,0.29,0.34,0.17,0.23,0.12,0.24,0.22,0.13,0.21,0.25,0.40,0.38,0.39,0.40,0.34,0.33,0.36,0.32,0.46,0.24,0.46,0.29,0.39,0.44,0.28,0.49
building,"arcade machine room",0.13,0.09,0.07,0.12,0.09,0.07,0.12,0.13,0.15,0.13,0.10,0.28,0.20,0.12,0.12,0.12,0.22,0.53,0.53,0.23,0.31,0.88,0.81,0.15,0.24,0.36,0.29,0.14,0.16,0.51,0.35,0.35,0.24,0.65,0.32,0.19,0.29,0.53,0.68,0.28,0.23,0.46,0.39,0.34,0.53,0.62,0.61,0.22,0.21,0.38,0.13,0.17,0.30,0.07,0.45,0.18,0.22,0.19,0.16,0.25,0.23,0.23,0.20,0.24
building,"room inside shell",0.06,0.07,0.32,0.68,0.69,0.44,0.07,0.07,0.14,0.86,0.79,0.89,0.97,0.98,0.65,0.06,0.53,0.29,0.24,0.26,0.43,0.67,0.98,0.34,0.37,0.23,0.15,0.14,0.27,0.23,0.71,0.34,0.08,0.38,0.18,0.20,0.16,0.20,0.40,0.35,0.25,0.43,0.54,0.39,0.44,0.30,0.51,0.07,0.26,0.70,0.67,0.65,0.43,0.44,0.83,0.23,0.06,0.08,0.31,0.50,0.55,0.41,0.15,0.06
building,"hospital bed control panel",0.07,0.17,0.21,0.21,0.21,0.21,0.21,0.08,0.06,0.44,0.65,0.58,0.52,0.54,0.53,0.08,0.06,0.44,0.64,0.59,0.56,0.53,0.50,0.09,0.14,0.44,0.29,0.21,0.21,0.23,0.21,0.07,0.34,0.79,0.49,0.07,0.09,0.08,0.29,0.29,0.35,0.78,0.68,0.47,0.46,0.47,0.63,0.35,0.36,0.78,0.68,0.68,0.68,0.68,0.79,0.36,0.16,0.15,0.05,0.04,0.05,0.05,0.15,0.16
building,"base station cabinet",0.05,0.04,0.06,0.08,0.36,0.07,0.07,0.05,0.09,0.35,0.62,0.61,0.53,0.62,0.47,0.10,0.21,0.55,0.53,0.43,0.24,0.54,0.38,0.12,0.20,0.57,0.55,0.44,0.24,0.56,0.26,0.11,0.20,0.57,0.47,0.47,0.27,0.56,0.27,0.12,0.20,0.57,0.53,0.41,0.26,0.56,0.27,0.12,0.21,0.52,0.36,0.45,0.52,0.57,0.27,0.09,0.13,0.42,0.40,0.42,0.41,0.35,0.08,0.05
building,"pump station building",0.07,0.07,0.09,0.09,0.09,0.09,0.06,0.07,0.07,0.12,0.15,0.15,0.15,0.15,0.12,0.06,0.07,0.48,0.53,0.52,0.52,0.52,0.45,0.07,0.07,0.52,0.53,0.40,0.40,0.52,0.39,0.06,0.07,0.53,0.52,0.11,0.11,0.52,0.39,0.06,0.06,0.48,0.41,0.12,0.12,0.49,0.39,0.05,0.38,0.42,0.52,0.55,0.39,0.57,0.39,0.29,0.10,0.12,0.10,0.13,0.12,0.10,0.12,0.11
building,"pump station building",0.07,0.06,0.10,0.07,0.07,0.06,0.06,0.06,0.06,0.33,0.52,0.48,0.24,0.07,0.06,0.06,0.11,0.55,0.55,0.55,0.58,0.09,0.07,0.06,0.08,0.72,0.14,0.30,0.66,0.22,0.11,0.06,0.13,0.66,0.14,0.29,0.57,0.19,0.42,0.05,0.34,0.34,0.34,0.34,0.34,0.26,0.31,0.06,0.15,0.24,0.28,0.19,0.21,0.33,0.32,0.27,0.25,0.19,0.21,0.19,0.21,0.12,0.11,0.13
building,"intercom base station",0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.82,0.63,0.98,0.98,0.98,0.98,0.98,0.99,0.97,0.57,0.68,0.69,0.69,0.69,0.79,0.99,0.78,0.48,0.52,0.51,0.54,0.48,0.34,0.90,0.69,0.47,0.41,0.41,0.52,0.53,0.57,0.85,0.69,0.49,0.22,0.32,0.50,0.54,0.54,0.85,0.78,0.36,0.10,0.11,0.35,0.35,0.34,0.86,0.98,0.96,0.96,0.95,0.96,0.95,0.97,0.98
building,"railway signal post lamp housing",0.08,0.07,0.05,0.35,0.30,0.07,0.06,0.07,0.07,0.09,0.35,0.34,0.36,0.34,0.11,0.07,0.08,0.04,0.38,0.27,0.18,0.22,0.06,0.07,0.07,0.04,0.42,0.10,0.09,0.24,0.06,0.07,0.07,0.04,0.41,0.33,0.41,0.22,0.06,0.07,0.08,0.06,0.29,0.23,0.24,0.24,0.06,0.08,0.07,0.07,0.05,0.43,0.17,0.06,0.07,0.07,0.07,0.07,0.07,0.32,0.16,0.08,0.07,0.07
building,"first aid station",0.10,0.10,0.10,0.08,0.08,0.09,0.10,0.10,0.10,0.10,0.16,0.47,0.43,0.15,0.10,0.10,0.09,0.47,0.66,0.64,0.65,0.53,0.59,0.08,0.08,0.66,0.96,0.82,0.96,0.66,0.65,0.07,0.08,0.66,0.69,0.46,0.80,0.49,0.65,0.07,0.08,0.66,0.96,0.75,0.96,0.67,0.65,0.08,0.08,0.67,0.99,0.99,0.98,0.67,0.65,0.07,0.10,0.25,0.32,0.32,0.33,0.27,0.16,0.11
building,"solder iron station base",0.07,0.07,0.07,0.07,0.07,0.07,0.11,0.10,0.07,0.07,0.07,0.07,0.06,0.26,0.24,0.21,0.06,0.07,0.07,0.04,0.24,0.27,0.07,0.20,0.26,0.66,0.60,0.50,0.34,0.07,0.17,0.11,0.38,0.81,0.34,0.36,0.58,0.07,0.12,0.08,0.41,0.44,0.48,0.43,0.58,0.63,0.72,0.40,0.30,0.35,0.48,0.38,0.39,0.62,0.73,0.40,0.24,0.30,0.32,0.31,0.26,0.07,0.06,0.06
building,"tiny polar research station",0.09,0.08,0.07,0.07,0.07,0.08,0.09,0.07,0.15,0.29,0.19,0.08,0.07,0.08,0.27,0.07,0.09,0.29,0.29,0.32,0.14,0.32,0.79,0.08,0.07,0.25,0.42,0.69,0.56,0.08,0.41,0.06,0.15,0.45,0.44,0.43,0.40,0.46,0.38,0.08,0.19,0.36,0.18,0.47,0.29,0.45,0.39,0.07,0.85,0.86,0.75,0.77,0.74,0.76,0.88,0.81,0.97,0.97,0.97,0.97,0.98,0.98,0.97,0.97
building,"scooter rental dock station",0.07,0.07,0.06,0.07,0.07,0.05,0.09,0.07,0.07,0.07,0.07,0.06,0.26,0.46,0.27,0.07,0.06,0.09,0.07,0.09,0.07,0.26,0.08,0.07,0.18,0.39,0.20,0.37,0.09,0.14,0.20,0.07,0.13,0.27,0.15,0.36,0.08,0.09,0.24,0.07,0.12,0.26,0.13,0.36,0.06,0.26,0.47,0.14,0.14,0.34,0.18,0.40,0.36,0.36,0.41,0.20,0.18,0.23,0.23,0.23,0.21,0.23,0.21,0.17
building,"heavy rail elevated station",0.04,0.05,0.04,0.04,0.04,0.04,0.06,0.04,0.12,0.28,0.34,0.23,0.23,0.45,0.25,0.05,0.06,0.45,0.58,0.56,0.52,0.66,0.44,0.07,0.29,0.65,0.65,0.76,0.84,0.75,0.35,0.15,0.41,0.38,0.40,0.33,0.28,0.40,0.39,0.36,0.23,0.72,0.07,0.41,0.21,0.10,0.53,0.30,0.26,0.64,0.09,0.08,0.53,0.34,0.45,0.29,0.25,0.23,0.26,0.26,0.25,0.27,0.25,0.25
building,"heavy rail elevated station",0.06,0.23,0.27,0.30,0.30,0.29,0.30,0.07,0.17,0.30,0.62,0.46,0.55,0.64,0.55,0.47,0.54,0.73,0.68,0.27,0.29,0.30,0.29,0.58,0.28,0.34,0.32,0.38,0.48,0.36,0.32,0.33,0.09,0.08,0.47,0.05,0.12,0.43,0.05,0.04,0.27,0.14,0.32,0.05,0.07,0.42,0.46,0.37,0.23,0.30,0.31,0.05,0.07,0.42,0.31,0.32,0.26,0.27,0.23,0.20,0.22,0.39,0.30,0.28
building,"public clock tower base",0.07,0.07,0.12,0.46,0.41,0.12,0.07,0.07,0.07,0.12,0.39,0.36,0.34,0.38,0.12,0.07,0.07,0.07,0.45,0.66,0.61,0.42,0.08,0.07,0.07,0.07,0.53,0.69,0.82,0.53,0.08,0.07,0.07,0.07,0.55,0.45,0.41,0.55,0.07,0.07,0.07,0.15,0.43,0.36,0.34,0.35,0.15,0.06,0.07,0.42,0.46,0.47,0.48,0.45,0.35,0.06,0.20,0.25,0.34,0.33,0.34,0.34,0.23,0.26
building,"Soviet concrete tower",0.08,0.08,0.14,0.54,0.54,0.14,0.08,0.08,0.08,0.08,0.28,0.65,0.67,0.28,0.08,0.08,0.08,0.08,0.22,0.64,0.63,0.22,0.08,0.08,0.08,0.08,0.09,0.71,0.71,0.09,0.08,0.08,0.08,0.08,0.09,0.73,0.73,0.09,0.08,0.08,0.09,0.08,0.09,0.73,0.73,0.10,0.08,0.07,0.07,0.16,0.18,0.72,0.72,0.16,0.15,0.08,0.17,0.55,0.54,0.55,0.54,0.54,0.55,0.08
building,"Soviet concrete tower",0.07,0.08,0.08,0.34,0.37,0.08,0.08,0.07,0.07,0.07,0.32,0.29,0.30,0.41,0.08,0.07,0.08,0.08,0.70,0.66,0.64,0.51,0.06,0.07,0.07,0.07,0.34,0.41,0.45,0.19,0.08,0.08,0.07,0.06,0.54,0.39,0.54,0.28,0.08,0.07,0.08,0.05,0.55,0.54,0.57,0.47,0.07,0.07,0.07,0.09,0.69,0.73,0.61,0.49,0.26,0.08,0.08,0.08,0.73,0.74,0.73,0.61,0.67,0.08
building,"Soviet concrete tower",0.04,0.05,0.06,0.09,0.06,0.05,0.04,0.05,0.04,0.04,0.11,0.34,0.22,0.06,0.05,0.04,0.04,0.06,0.46,0.39,0.36,0.36,0.04,0.04,0.05,0.04,0.35,0.51,0.42,0.14,0.05,0.05,0.04,0.04,0.52,0.62,0.53,0.19,0.05,0.04,0.05,0.04,0.50,0.57,0.49,0.20,0.05,0.05,0.04,0.06,0.65,0.57,0.47,0.37,0.03,0.04,0.10,0.34,0.42,0.18,0.26,0.36,0.27,0.05
building,"light tower",0.61,0.26,0.07,0.15,0.13,0.07,0.25,0.61,0.84,0.86,0.67,0.60,0.53,0.68,0.86,0.84,0.86,0.78,0.39,0.37,0.34,0.39,0.78,0.87,0.31,0.10,0.07,0.35,0.35,0.08,0.09,0.31,0.09,0.09,0.10,0.74,0.62,0.08,0.09,0.10,0.08,0.09,0.09,0.39,0.46,0.10,0.08,0.09,0.09,0.08,0.23,0.73,0.76,0.15,0.09,0.08,0.08,0.13,0.23,0.21,0.19,0.23,0.11,0.08
building,"lighthouse tower",0.07,0.08,0.07,0.13,0.07,0.07,0.24,0.08,0.09,0.13,0.09,0.36,0.24,0.08,0.11,0.32,0.06,0.21,0.31,0.40,0.38,0.81,0.93,0.97,0.08,0.05,0.28,0.53,0.43,0.07,0.33,0.33,0.14,0.09,0.45,0.81,0.86,0.07,0.08,0.07,0.07,0.09,0.68,0.82,0.92,0.09,0.06,0.06,0.06,0.07,0.61,0.78,0.94,0.32,0.07,0.07,0.09,0.33,0.27,0.26,0.27,0.26,0.23,0.08
building,"pyramid skyscraper",0.26,0.26,0.27,0.41,0.29,0.26,0.26,0.26,0.26,0.26,0.24,0.55,0.48,0.27,0.26,0.26,0.26,0.27,0.39,0.57,0.65,0.27,0.26,0.27,0.26,0.26,0.40,0.58,0.68,0.39,0.26,0.26,0.28,0.39,0.76,0.64,0.63,0.57,0.40,0.29,0.33,0.54,0.79,0.63,0.55,0.76,0.59,0.33,0.53,0.61,0.95,0.58,0.55,0.74,0.61,0.56,0.13,0.13,0.05,0.03,0.02,0.06,0.04,0.03
building,"church spire",0.10,0.10,0.08,0.35,0.10,0.09,0.10,0.10,0.10,0.10,0.08,0.46,0.10,0.10,0.10,0.10,0.10,0.10,0.09,0.70,0.11,0.10,0.10,0.10,0.09,0.09,0.12,0.91,0.27,0.11,0.10,0.10,0.10,0.10,0.45,0.85,0.70,0.09,0.10,0.10,0.10,0.10,0.59,0.53,0.59,0.10,0.10,0.10,0.10,0.09,0.58,0.86,0.55,0.11,0.10,0.10,0.09,0.07,0.38,0.56,0.29,0.12,0.10,0.10
building,"tower crane fixed base",0.36,0.45,0.46,0.36,0.38,0.36,0.36,0.36,0.40,0.73,0.74,0.77,0.62,0.66,0.71,0.49,0.36,0.29,0.28,0.40,0.49,0.72,0.65,0.40,0.36,0.32,0.30,0.35,0.35,0.64,0.47,0.36,0.37,0.23,0.18,0.36,0.34,0.64,0.48,0.36,0.37,0.16,0.14,0.35,0.34,0.67,0.48,0.36,0.36,0.35,0.35,0.35,0.27,0.56,0.31,0.33,0.36,0.35,0.35,0.36,0.21,0.18,0.16,0.29
building,"tower crane fixed base",0.07,0.06,0.53,0.14,0.06,0.06,0.06,0.08,0.48,0.65,0.73,0.72,0.63,0.64,0.63,0.16,0.59,0.71,0.77,0.71,0.55,0.66,0.71,0.46,0.17,0.18,0.64,0.31,0.07,0.05,0.27,0.05,0.09,0.11,0.70,0.31,0.09,0.08,0.39,0.08,0.08,0.11,0.59,0.33,0.09,0.09,0.22,0.10,0.08,0.28,0.67,0.52,0.09,0.08,0.16,0.09,0.07,0.36,0.43,0.46,0.11,0.08,0.08,0.08
building,"tower crane fixed base",0.06,0.12,0.43,0.17,0.09,0.07,0.09,0.07,0.32,0.40,0.57,0.43,0.54,0.58,0.52,0.33,0.16,0.20,0.56,0.35,0.07,0.16,0.23,0.07,0.07,0.07,0.57,0.35,0.05,0.25,0.26,0.07,0.07,0.07,0.57,0.41,0.04,0.39,0.39,0.06,0.07,0.07,0.57,0.38,0.06,0.23,0.22,0.08,0.07,0.14,0.51,0.39,0.10,0.06,0.07,0.06,0.10,0.24,0.22,0.23,0.20,0.07,0.06,0.06
building,"portable beacon tower",0.24,0.05,0.06,0.12,0.11,0.05,0.06,0.30,0.89,0.71,0.42,0.73,0.62,0.56,0.71,0.91,0.89,0.71,0.32,0.58,0.43,0.27,0.70,0.89,0.18,0.05,0.18,0.62,0.59,0.08,0.05,0.18,0.07,0.06,0.20,0.40,0.27,0.12,0.06,0.07,0.07,0.06,0.23,0.38,0.28,0.21,0.07,0.06,0.07,0.09,0.46,0.59,0.60,0.35,0.07,0.07,0.06,0.22,0.30,0.30,0.32,0.32,0.14,0.07
building,"spire on church",0.08,0.08,0.08,0.26,0.26,0.09,0.08,0.08,0.08,0.08,0.09,0.33,0.29,0.09,0.08,0.08,0.08,0.08,0.08,0.21,0.20,0.07,0.08,0.08,0.08,0.08,0.08,0.28,0.28,0.08,0.08,0.08,0.07,0.09,0.12,0.28,0.28,0.08,0.09,0.07,0.08,0.08,0.23,0.47,0.40,0.23,0.07,0.08,0.07,0.06,0.62,0.72,0.78,0.22,0.09,0.07,0.08,0.06,0.64,0.61,0.61,0.23,0.08,0.08
building,"crane tower",0.05,0.05,0.10,0.39,0.03,0.03,0.03,0.05,0.12,0.25,0.47,0.44,0.44,0.42,0.48,0.29,0.40,0.64,0.43,0.38,0.52,0.52,0.61,0.41,0.03,0.14,0.26,0.57,0.04,0.03,0.35,0.03,0.05,0.05,0.25,0.52,0.04,0.04,0.35,0.06,0.04,0.06,0.26,0.55,0.04,0.05,0.41,0.13,0.04,0.06,0.26,0.46,0.03,0.04,0.37,0.12,0.05,0.04,0.51,0.55,0.10,0.05,0.15,0.05
